id;name
11; Ariana; 12
12; Béja; 12
13; Ben Arous; 12
14; Bizerte; 12
15; Gabès; 12
16; Gafsa; 12
17; Jendouba; 12
18; Kairouan; 12
19; Kasserine; 12
20; Kébili; 12
21; Le Kef; 12
22; Mahdia; 12
23; La Manouba; 12
24; Médenine; 12
25; Monastir; 12
26; Nabeul; 12
27; Sfax; 12
28; Sidi Bouzid; 12
29; Siliana; 12
30; Sousse; 12
31; Tataouine; 12
32; Tozeur; 12
33; Tunis; 12
34; Zaghouan; 12
36; Algérie.; 13
37; Angola; 14
38; Australie; 15
39; Autriche; 16
40; Belgique; 17
41; Brésil; 18
42; Cameroun; 19
43; Canada; 20
44; Chine; 21
45; Taïwan; 22
46; France; 23
47; Allemagne; 24
48; Ghana; 25
49; Guinée; 26
50; Hong-Kong.; 27
51; Japon; 28
52; Luxembourg; 29
53; Malte; 30
54; Monaco; 31
55; Maroc; 32
56; Pays-Bas; 33
57; Espagne; 34
58; Suisse.; 35
59; Royaume-Uni; 36
60; États-Unis; 37
61; Autre.; 11
